Question Type,Question,Strategy,k,Answer,Sources
Point-in-time,What was the specific budget allocated to security in 2024?,Baseline,5,"Error: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemini-2.0-flash-exp:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'Google'}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2024-03-11.txt', 'debates2024-04-24.txt', 'debates2024-12-11.txt', 'debates2024-04-24.txt', 'debates2025-04-02.txt']"
Point-in-time,What was the specific budget allocated to security in 2024?,HardFilter,5,"The security budget was cut by £600 million in the Budget on 6 March. I cannot determine the exact amount of the security budget in 2024 based on the provided context.
","['debates2024-03-11.txt', 'debates2024-04-24.txt', 'debates2024-12-11.txt', 'debates2024-04-24.txt', 'debates2024-03-25.txt']"
Point-in-time,What was the specific budget allocated to security in 2024?,SoftDecay,5,"According to the document debates2024-03-25.txt, the security budget was cut by £600 million next year in the Budget on 6 March. However, according to debates2024-12-11.txt, at the Budget there was delivered a £2.9 billion increase in the Ministry of Defence budget.
I cannot give a specific budget allocated to security in 2024 based on the provided context.","['debates2024-03-11.txt', 'debates2024-04-24.txt', 'debates2024-12-11.txt', 'debates2024-04-24.txt', 'debates2024-03-25.txt']"
Point-in-time,"What was the primary economic concern mentioned in the debate on July 10, 2023?",Baseline,5,"I cannot answer this based on the provided context. The provided text includes debates from July 10, 2025 but not July 10, 2023.","['debates2023-11-14.txt', 'debates2025-06-19.txt', 'debates2025-07-10.txt', 'debates2024-12-12.txt', 'debates2025-03-06.txt']"
Point-in-time,"What was the primary economic concern mentioned in the debate on July 10, 2023?",HardFilter,5,"I cannot answer this based on the provided context.
","['debates2023-11-14.txt', 'debates2023-11-09.txt', 'debates2023-07-04.txt', 'debates2023-07-05.txt', 'debates2023-09-04.txt']"
Point-in-time,"What was the primary economic concern mentioned in the debate on July 10, 2023?",SoftDecay,5,"I cannot answer this based on the provided context.
","['debates2023-11-14.txt', 'debates2023-11-09.txt', 'debates2023-07-04.txt', 'debates2023-07-05.txt', 'debates2023-09-04.txt']"
Recency,What is the current official position regarding the State of Israel?,Baseline,5,"I cannot answer this based on the provided context.
","['debates2024-02-01.txt', 'debates2025-04-02.txt', 'debates2025-04-02.txt', 'debates2025-01-07.txt', 'debates2023-07-18.txt']"
Recency,What is the current official position regarding the State of Israel?,HardFilter,5,"I cannot answer this based on the provided context.
","['debates2024-02-01.txt', 'debates2025-04-02.txt', 'debates2025-04-02.txt', 'debates2025-01-07.txt', 'debates2023-07-18.txt']"
Recency,What is the current official position regarding the State of Israel?,SoftDecay,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768348800000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2025-04-02.txt', 'debates2025-04-02.txt', 'debates2025-01-07.txt', 'debates2025-10-29.txt', 'debates2025-01-14.txt']"
Recency,What is the current official position regarding Hamas/Gaza?,Baseline,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768348800000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2023-12-11.txt', 'debates2025-10-29.txt', 'debates2025-04-02.txt', 'debates2025-01-07.txt', 'debates2024-02-01.txt']"
