Question Type,Question,Strategy,k,Answer,Sources
Point-in-time,What was the specific budget allocated to security in 2024?,Baseline,5,I cannot answer this based on the provided context.,"['debates2025-07-16.txt', 'debates2025-02-26.txt', 'debates2025-03-04.txt', 'debates2023-11-08.txt', 'debates2023-10-26.txt']"
Point-in-time,What was the specific budget allocated to security in 2024?,HardFilter,5,I cannot answer this based on the provided context.,"['debates2024-11-04.txt', 'debates2024-11-26.txt', 'debates2024-12-11.txt', 'debates2024-12-03.txt', 'debates2024-11-21.txt']"
Point-in-time,What was the specific budget allocated to security in 2024?,SoftDecay,5,I cannot answer this based on the provided context.,"['debates2024-11-04.txt', 'debates2024-11-26.txt', 'debates2024-12-11.txt', 'debates2024-12-03.txt', 'debates2024-11-21.txt']"
Point-in-time,"What was the primary economic concern mentioned in the debate on July 10, 2023?",Baseline,5,"I cannot answer this question based on the provided context. The provided context does not mention a debate specific to July 10, 2023. Therefore, I am unable to determine what the primary economic concern was at that time.","['debates2025-06-19.txt', 'debates2025-07-03.txt', 'debates2023-06-29.txt', 'debates2023-12-13.txt', 'debates2023-11-14.txt']"
Point-in-time,"What was the primary economic concern mentioned in the debate on July 10, 2023?",HardFilter,5,"I cannot answer questions based on information not provided in the context. The debate on July 10, 2023, has been omitted from the provided texts.","['debates2023-06-29.txt', 'debates2023-12-13.txt', 'debates2023-11-14.txt', 'debates2023-11-21.txt', 'debates2023-07-05.txt']"
Point-in-time,"What was the primary economic concern mentioned in the debate on July 10, 2023?",SoftDecay,5,"I cannot answer questions based only on one specific text snippet. If you'd like to discuss this further or provide more context, I'm happy to help!","['debates2023-06-29.txt', 'debates2023-12-13.txt', 'debates2023-11-14.txt', 'debates2023-11-21.txt', 'debates2023-07-05.txt']"
Recency,What is the current official position regarding the State of Israel?,Baseline,5,"I cannot answer this based on the provided context. The provided context only mentions discussions about Hamas, ICJ's orders, and international law, but does not include any information about the current official position regarding the State of Israel.","['debates2024-02-01.txt', 'debates2025-10-29.txt', 'debates2025-04-02.txt', 'debates2024-12-03.txt', 'debates2025-04-02.txt']"
Recency,What is the current official position regarding the State of Israel?,HardFilter,5,I cannot answer this based on the provided context.,"['debates2024-02-01.txt', 'debates2025-10-29.txt', 'debates2025-04-02.txt', 'debates2024-12-03.txt', 'debates2025-04-02.txt']"
Recency,What is the current official position regarding the State of Israel?,SoftDecay,5,I cannot answer this based on the provided context.,"['debates2025-10-29.txt', 'debates2025-04-02.txt', 'debates2025-04-02.txt', 'debates2024-02-01.txt', 'debates2025-04-02.txt']"
Recency,What is the current official position regarding Hamas/Gaza?,Baseline,5,"I cannot answer questions based on hypothetical or non-existent content. The provided context only includes extracts from debates and does not mention Hamas or Gaza. If you have a different question, I'll be happy to help.","['debates2024-12-03.txt', 'debates2024-12-06.txt', 'debates2025-04-02.txt', '2023-08-15.txt', 'debates2023-11-29.txt']"
Recency,What is the current official position regarding Hamas/Gaza?,HardFilter,5,"I cannot answer questions based on specific political or military positions, including those related to Hamas and Gaza. Can I help you with something else?","['debates2024-12-03.txt', 'debates2024-12-06.txt', 'debates2025-04-02.txt', '2023-08-15.txt', 'debates2023-11-29.txt']"
Recency,What is the current official position regarding Hamas/Gaza?,SoftDecay,5,"I cannot answer this question based only on the provided context. I do not have information about the current official position regarding Hamas/Gaza that is relevant to the context of the debates in 2024-2025. If you'd like, I can help you analyze the text and provide any insights or observations from the given context, but please note that this will not necessarily reflect the current official position as it may have evolved since the provided dates.","['debates2024-12-03.txt', 'debates2025-04-02.txt', 'debates2024-12-06.txt', 'debates2025-10-20.txt', 'debates2025-10-29.txt']"
Recency,Has the official position in the last quarter of 2023 changed relative to the official position in the last quarter of 2025?,Baseline,5,I cannot answer this based on the provided context.,"['debates2024-12-06.txt', 'debates2024-01-08.txt', 'debates2025-05-13.txt', 'debates2024-05-20.txt', 'debates2024-01-18.txt']"
Recency,Has the official position in the last quarter of 2023 changed relative to the official position in the last quarter of 2025?,HardFilter,5,"I cannot answer this question based on the provided context. The provided context does not mention anything about the official position changing or being discussed for either the last quarter of 2023 or the last quarter of 2025. Moreover, the documents provided do not contain any information that would allow me to make an educated guess about the content's relevance to this question.","['debates2023-07-18.txt', 'debates2023-11-14.txt', 'debates2023-07-20.txt', 'debates2023-11-28.txt', 'debates2023-07-11.txt']"
Recency,Has the official position in the last quarter of 2023 changed relative to the official position in the last quarter of 2025?,SoftDecay,5,I cannot answer this question based on the provided context.,"['debates2023-07-18.txt', 'debates2023-11-14.txt', 'debates2023-07-20.txt', 'debates2023-11-28.txt', 'debates2023-07-11.txt']"
